date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:30	6331/6331	---M--	200	added ('OK')	image/gif	date:Sun,%2030%20Oct%202016%2012:02:29%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/loader.gif	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/default/loader.gif	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:30	4227/4227	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:32%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/sprite.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/sprite.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:30	142/142	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternTop.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternTop.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:30	137/137	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternLeft.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternLeft.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:30	69136/69136	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:39%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/wrapper.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/wrapper.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:31	136/136	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternRight.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternRight.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:31	2545/2545	---M--	200	added ('OK')	image/gif	date:Sun,%2030%20Oct%202016%2012:02:32%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/loader.gif	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/loader.gif	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:31	845/845	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/btnNext.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/btnNext.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:32	828/828	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/btnPrevious.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/btnPrevious.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:32	142/142	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:31%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternBottom.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/contentPatternBottom.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:32	227/227	---M--	200	added ('OK')	image/gif	date:Sun,%2030%20Oct%202016%2012:02:32%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/default_thumbnail.gif	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/facebook/default_thumbnail.gif	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:32	120808/120808	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:37%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/linedpaper.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/linedpaper.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:32	1411/1411	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:02:33%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/light_rounded/btnNext.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/prettyPhoto/light_rounded/btnNext.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:33	5305/5305	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:38%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/slider.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/slider.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:33	1503/1503	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:01:37%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/wowslider/arrows.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/wowslider/arrows.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
16:52:34	3321/3321	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:36%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/ladybug.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/ladybug.png	(from http://craftedpixels.net/demo-html/kindergarten-template/css/style.css)
